,step,psnr,message_bits_str_initial,bit_accuracy,p_value,message_bits_str_recovered,detection_successful
0,-1,inf,,0.0,0.5674525455771169,,False
1,0,31.47671032848338,,0.0,0.2111967745213358,,False
2,10,30.958864200009767,,0.0,0.1192789742150875,,False
3,20,30.545070005167947,,0.0,0.0665105788040999,,False
4,30,30.317333475216323,,0.0,0.03759469314257472,,False
5,40,30.163123231832124,,0.0,0.04748083574360134,,False
6,50,30.042885704116333,,0.0,0.07090409237813937,,False
7,60,29.954887874610773,,0.0,0.15679021299000717,,False
8,70,29.88038193107056,,0.0,0.09453096721256452,,False
9,80,29.81378963566859,,0.0,0.13982604592527414,,False
10,90,29.76165243506557,,0.0,0.06912768470007419,,False
